agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_email
ODK:202,Bornholms Trafik,https://bat.dk,Europe/Berlin,da,,
ODK:203,DSB,http://www.dsb.dk,Europe/Berlin,,,
ODK:204,FYNBUS,https://fynbus.dk,Europe/Berlin,,,
ODK:206,NT,https://www.nordjyllandstrafikselskab.dk,Europe/Berlin,,,
ODK:221,Movia,https://www.moviatrafik.dk,Europe/Berlin,,,
ODK:281,Midttrafik,https://www.midttrafik.dk,Europe/Berlin,,,
ODK:301,Mols-Linien,http://molslinjen.dk,Europe/Berlin,,,
ODK:306,Arriva tog,http://www.mitarriva.dk,Europe/Berlin,,,
ODK:307,DSB Øresund,http://dsb.dk,Europe/Berlin,,,
ODK:316,Movia,https://www.lokaltog.dk,Europe/Berlin,,,
ODK:318,DSB S-tog,https://www.dsb.dk,Europe/Berlin,,,
ODK:319,Metroselskabet,https://m.dk,Europe/Berlin,,,
ODK:320,Ærøfærgerne,https://aeroe-ferry.dk,Europe/Berlin,,,
ODK:321,Johns Turistfart,https://johnsbus.dk,Europe/Berlin,,,
ODK:326,Gråhundbus,http://graahundbus.dk,Europe/Berlin,,,
ODK:336,Sydtrafik,https://www.sydtrafik.dk,Europe/Berlin,,,
ODK:351,Scandlines,https://www.scandlines.dk,Europe/Berlin,,,
ODK:356,Sporvejsmuseet Skjoldenæsholm,http://sporvejsmuseet.dk,Europe/Berlin,,,
ODK:381,Öresundståg,http://dsb.dk,Europe/Berlin,,,
ODK:386,Ærø Kommune,https://www.aeroekommune.dk/borger/flyt-til-aeroe/transport/paa-aeroe,Europe/Berlin,,,
ODK:396,GoShuttle,https://www.goshuttle.dk,Europe/Berlin,,,
ODK:406,Fanø Kommune,https://www.fanoe.dk/borger/faerge-bus-og-taxa/kollektiv-trafik-bus,Europe/Berlin,,,
ODK:416,"Svendborg Havn, Færge- og Sundfart",https://www.svendborg-havn.dk/færger-fra-svendborg,Europe/Berlin,,,
ODK:422,Færgefarten Orø-Holbæk,http://holbaek.dk/faerge,Europe/Berlin,,,
ODK:423,Hundested-Rørvig Færgefart A/S,https://hundested-roervig.dk,Europe/Berlin,,,
ODK:426,Sejerøbugtens Færger,https://www.kalundborg.dk/borger/Veje_teknin_og_miljø/Sejerøbugtens_Færger.aspx,Europe/Berlin,,,
ODK:441,Thinggaard Express,https://www.expressbus.dk,Europe/Berlin,,,
