service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ODK:1,1,1,1,1,1,0,0,20210928,20211222
ODK:2,1,1,1,1,0,0,0,20210928,20211222
ODK:3,0,0,0,0,0,0,1,20211003,20211219
ODK:4,0,0,0,0,0,1,1,20211002,20211219
ODK:5,0,1,0,0,1,0,0,20210928,20211221
ODK:6,1,1,1,1,1,1,1,20210928,20211222
ODK:7,1,1,1,1,1,0,0,20210928,20211221
ODK:8,1,0,0,0,0,0,0,20211004,20211220
ODK:9,0,1,1,1,1,0,0,20210928,20211222
ODK:10,1,0,0,0,0,1,0,20211002,20211220
ODK:11,0,0,0,0,0,1,0,20211002,20211218
ODK:12,1,1,1,1,1,0,0,20211025,20211221
ODK:13,1,1,1,1,1,0,0,20210928,20211217
ODK:14,1,1,1,1,1,0,0,20211025,20211222
ODK:17,0,0,0,0,0,0,1,20211024,20211219
ODK:19,0,0,0,0,0,1,0,20211023,20211218
ODK:22,1,1,1,1,1,0,0,20210928,20211222
ODK:23,1,0,0,0,0,0,0,20211004,20211220
ODK:24,0,0,1,0,0,0,0,20210929,20211215
ODK:25,0,0,0,0,1,0,0,20211001,20211217
ODK:26,0,0,0,1,0,0,0,20210930,20211216
ODK:28,0,1,0,1,0,0,0,20210928,20211221
ODK:29,0,0,1,0,1,0,0,20210929,20211217
ODK:30,0,1,0,0,0,0,0,20210928,20211221
ODK:31,0,0,0,0,1,0,0,20211029,20211217
ODK:32,1,0,0,1,0,0,0,20210930,20211220
ODK:33,1,0,0,0,0,0,0,20211025,20211213
ODK:34,1,0,0,0,0,0,0,20211004,20211213
ODK:36,0,1,0,0,0,0,0,20210928,20211214
ODK:37,0,0,1,0,0,0,0,20211027,20211215
ODK:39,0,0,0,0,1,0,0,20211001,20211217
ODK:40,0,0,0,0,1,1,0,20211001,20211120
ODK:41,0,0,0,0,1,1,0,20211001,20211218
ODK:42,0,0,0,0,1,1,0,20211105,20211218
ODK:43,1,0,1,0,1,0,0,20210929,20211220
ODK:44,1,1,0,1,0,0,0,20210928,20211220
ODK:47,0,1,0,1,0,0,0,20210928,20211216
ODK:52,1,0,1,1,1,0,0,20210929,20211220
ODK:53,1,1,1,1,1,0,0,20210928,20211220
ODK:55,1,1,1,1,1,0,0,20210928,20211210
ODK:59,1,1,1,1,0,0,0,20210928,20211216
ODK:60,1,1,1,1,1,0,0,20210928,20211216
ODK:61,1,0,1,1,0,0,0,20210929,20211216
ODK:62,1,1,0,0,1,0,0,20211025,20211217
ODK:63,1,0,0,0,1,0,0,20211001,20211213
ODK:64,1,0,1,1,0,0,0,20211025,20211216
ODK:66,1,1,1,1,1,0,0,20210928,20211216
ODK:68,0,1,0,0,0,0,0,20211026,20211214
ODK:69,0,1,1,1,1,0,0,20210928,20211216
ODK:71,1,0,1,0,1,0,0,20211025,20211215
ODK:72,1,1,1,1,1,0,0,20211025,20211216
ODK:73,1,0,1,0,0,0,0,20211025,20211215
ODK:76,0,0,0,1,1,0,0,20210930,20211217
ODK:77,1,0,0,0,1,0,0,20211001,20211217
ODK:78,1,0,1,0,0,0,0,20210929,20211215
ODK:79,1,0,1,0,1,0,0,20210929,20211217
ODK:80,0,1,1,1,1,0,0,20210928,20211217
