route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
ODK:23758_3,ODK:202,1,Rønne Havn (Bornholm) - Gudhjem Øvre (Bornholm),,3,,,,
ODK:25009_3,ODK:202,10,Hasle - Torv v. Turistinfo (Bornholm) - Sandvig - Gl. Station (Bornholm),,3,,,,
ODK:24989_3,ODK:202,1N,1N,,3,,,,
ODK:23760_3,ODK:202,2,Rønne Havn (Bornholm) - Hammershus (Bornholm),,3,,,,
ODK:23761_3,ODK:202,21,21,,3,,,,
ODK:23763_3,ODK:202,23,23,,3,,,,
ODK:23764_3,ODK:202,3,Rønne Havn (Bornholm) - Gudhjem Øvre (nord) (Bornholm),,3,,,,
ODK:23766_3,ODK:202,4,Rønne Havn (Bornholm) - Nexø Rtb. (Bornholm),,3,,,,
ODK:23767_3,ODK:202,5,Rønne Havn (Bornholm) - Nexø Rtb. (Bornholm),,3,,,,
ODK:23768_3,ODK:202,6,Rønne Havn (Bornholm) - Nexø Rtb. (Bornholm),,3,,,,
ODK:24990_3,ODK:202,6N,6N,,3,,,,
ODK:23868_3,ODK:202,7,7,,3,,,,
ODK:23869_3,ODK:202,8,8,,3,,,,
ODK:23769_3,ODK:202,9,Aakirkeby Terminal (Bornholm) - Almindingen - Almindingsvej v. Koldekilde (øst) (B,,3,,,,
ODK:23843_3,ODK:203,018,018,,3,,,,
ODK:22243_2,ODK:203,029,029,,2,,,,
ODK:23888_3,ODK:203,BLÅ,BLÅ,,3,,,,
ODK:25239_3,ODK:203,GROEN,GROEN,,3,,,,
ODK:23838_3,ODK:203,GRØN,GRØN,,3,,,,
ODK:11746_2,ODK:203,IC,IC,,2,,,,
ODK:11747_2,ODK:203,ICL,ICL,,2,,,,
ODK:21294_2,ODK:203,IL,IL,,2,,,,
ODK:23919_3,ODK:203,LILLA,LILLA,,3,,,,
ODK:23918_3,ODK:203,PINK,PINK,,3,,,,
ODK:11748_2,ODK:203,RE,RE,,2,,,,
ODK:25364_3,ODK:203,ROED,ROED,,3,,,,
ODK:23839_3,ODK:203,RØD,RØD,,3,,,,
ODK:16801_3,ODK:204,1,Skovparken (Nyborg Kommune) - Bavnehøjalle (Nyborg Kommune),,3,,,,
ODK:22223_3,ODK:204,10C,10C,,3,,,,
ODK:22224_3,ODK:204,10H,10H,,3,,,,
ODK:16578_3,ODK:204,110,Arena Assens (Assens Kommune) - OBC Nord Plads I (Odense Kommune),,3,,,,
ODK:21328_3,ODK:204,110E,110E,,3,,,,
ODK:18669_3,ODK:204,110N,Arena Assens (Assens Kommune) - OBC Nord Plads I (Odense Kommune),,3,,,,
ODK:16579_3,ODK:204,111,Faaborg Plads A (Faaborg Midtfyn) - OBC Nord Plads I (Odense Kommune),,3,,,,
ODK:16802_3,ODK:204,122,Hårslev Kirke (Nordfyn Kommune) - OBC Nord Plads I (Odense Kommune),,3,,,,
ODK:18673_3,ODK:204,122S,122S,,3,,,,
ODK:21520_3,ODK:204,123S,123S,,3,,,,
ODK:16583_3,ODK:204,130,Arena Assens (Assens Kommune) - OBC Nord Plads I (Odense Kommune),,3,,,,
ODK:18675_3,ODK:204,130N,Aarup Station (Assens Kommune) - OBC Nord Plads I (Odense Kommune),,3,,,,
ODK:18676_3,ODK:204,130S,130S,,3,,,,
ODK:16584_3,ODK:204,131,Haarby Rtb. (Assens Kommune) - OBC Nord Plads I (Odense Kommune),,3,,,,
ODK:16585_3,ODK:204,132,132,,3,,,,
ODK:23173_3,ODK:204,132E,132E,,3,,,,
ODK:19743_3,ODK:204,140,OBC Nord Plads H (Odense Kommune) - Banepl. Otterup (Nordfyn Kommune),,3,,,,
ODK:18678_3,ODK:204,140N,OBC Nord Plads H (Odense Kommune) - Banepl. Otterup (Nordfyn Kommune),,3,,,,
ODK:16588_3,ODK:204,141,Faaborg Plads A (Faaborg Midtfyn) - OBC Nord Plads H (Odense Kommune),,3,,,,
ODK:18680_3,ODK:204,141N,Faaborg Plads A (Faaborg Midtfyn) - OBC Nord Plads H (Odense Kommune),,3,,,,
ODK:22814_3,ODK:204,150S,OBC Syd Plads B (Odense Kommune) - Gillestedvej (Odense Kommune),,3,,,,
ODK:16592_3,ODK:204,151,Arena Assens (Assens Kommune) - Kerteminde Rtb. (Kerteminde Kommune),,3,,,,
ODK:18684_3,ODK:204,151L,Arena Assens (Assens Kommune) - Syddansk Universitet (Odense Kommune),,3,,,,
ODK:16593_3,ODK:204,152,Arena Assens (Assens Kommune) - Kerteminde Rtb. (Kerteminde Kommune),,3,,,,
ODK:18687_3,ODK:204,152N,Arena Assens (Assens Kommune) - Kerteminde Rtb. (Kerteminde Kommune),,3,,,,
ODK:21035_3,ODK:204,153,153,,3,,,,
ODK:16596_3,ODK:204,161,OBC Nord Plads I (Odense Kommune) - Stationsvej / Ørbæk (Nyborg Kommune),,3,,,,
ODK:16597_3,ODK:204,162,OBC Nord Plads I (Odense Kommune) - Svendborg Plads A (Svendborg Kommune),,3,,,,
ODK:16605_3,ODK:204,191,Bogense Rtb. (Nordfyn Kommune) - OBC Nord Plads H (Odense Kommune),,3,,,,
ODK:24834_3,ODK:204,191E,191E,,3,,,,
ODK:18692_3,ODK:204,191N,Bogense Rtb. (Nordfyn Kommune) - OBC Nord Plads H (Odense Kommune),,3,,,,
ODK:21523_3,ODK:204,192S,192S,,3,,,,
ODK:21403_3,ODK:204,195,OBC Nord Plads H (Odense Kommune) - Nyborg Station (Nyborg Kommune),,3,,,,
ODK:24854_3,ODK:204,195E,195E,,3,,,,
