object_id,object_system,object_code
ODK:000461011300,source,000461011300
ODK:000008600718,source,000008600718
ODK:000008600719,source,000008600719
ODK:000008600716,source,000008600716
ODK:000008600717,source,000008600717
ODK:000008600714,source,000008600714
ODK:000008600715,source,000008600715
ODK:000008600712,source,000008600712
ODK:000008600793,source,000008600793
ODK:000008600792,source,000008600792
ODK:000008600710,source,000008600710
ODK:000008600791,source,000008600791
ODK:000008600711,source,000008600711
ODK:000008600790,source,000008600790
ODK:000007400003,source,000007400003
ODK:000008600646,source,000008600646
ODK:000008600644,source,000008600644
ODK:000008600645,source,000008600645
ODK:000008600642,source,000008600642
ODK:000008600640,source,000008600640
ODK:000008600641,source,000008600641
ODK:000008601627,source,000008601627
ODK:000008601625,source,000008601625
ODK:000008601623,source,000008601623
ODK:000008601620,source,000008601620
ODK:000008601621,source,000008601621
ODK:000008603527,source,000008603527
ODK:000008603525,source,000008603525
ODK:000008600508,source,000008600508
ODK:000008600509,source,000008600509
ODK:000008600506,source,000008600506
ODK:000008600507,source,000008600507
ODK:000008600504,source,000008600504
ODK:000008600505,gtfs_stop_code,GD
ODK:000008600505,source,000008600505
ODK:000008600502,source,000008600502
ODK:000008600503,source,000008600503
ODK:000008600501,source,000008600501
ODK:000008601824,source,000008601824
ODK:000008600079,source,000008600079
ODK:000008600076,source,000008600076
ODK:000008600077,source,000008600077
ODK:000008600073,source,000008600073
ODK:000008600071,source,000008600071
ODK:000008601053,source,000008601053
ODK:000008600436,source,000008600436
ODK:000008600434,source,000008600434
ODK:000008600432,source,000008600432
ODK:000008600430,source,000008600430
ODK:000008600431,source,000008600431
ODK:000008601417,source,000008601417
ODK:000008601411,source,000008601411
ODK:000008603317,source,000008603317
ODK:000008603315,source,000008603315
ODK:000008603312,source,000008603312
ODK:000008603313,source,000008603313
ODK:000008603310,source,000008603310
ODK:000008603311,source,000008603311
ODK:000008600768,source,000008600768
ODK:000008600769,source,000008600769
ODK:000008600766,source,000008600766
ODK:000008600767,source,000008600767
ODK:000008600764,source,000008600764
ODK:000008600765,source,000008600765
ODK:000008600763,source,000008600763
ODK:000008600760,source,000008600760
ODK:000008600761,source,000008600761
ODK:000008601741,source,000008601741
ODK:000008600228,source,000008600228
ODK:000008600227,source,000008600227
ODK:000008600222,source,000008600222
ODK:000008600223,source,000008600223
ODK:000008600220,source,000008600220
ODK:000008600221,source,000008600221
