date,passengers
2013-01-01,16013.0
2013-01-02,39273.0
2013-01-03,46267.0
2013-01-04,47796.0
2013-01-05,23165.0
2013-01-06,16285.0
2013-01-07,50216.0
2013-01-08,50696.0
2013-01-09,51462.0
2013-01-10,53675.0
2013-01-11,55705.0
2013-01-12,26174.0
2013-01-13,18514.0
2013-01-14,55308.0
2013-01-15,57797.0
2013-01-16,57405.0
2013-01-17,58705.0
2013-01-18,59719.0
2013-01-19,27837.0
2013-01-20,19495.0
2013-01-21,57192.0
2013-01-22,56917.0
2013-01-23,56696.0
2013-01-24,58816.0
2013-01-25,60970.0
2013-01-26,28236.0
2013-01-27,20800.0
2013-01-28,58832.0
2013-01-29,58592.0
2013-01-30,58205.0
2013-01-31,64955.0
2013-02-01,65476.0
2013-02-02,33351.0
2013-02-03,24799.0
2013-02-04,64302.0
2013-02-05,66128.0
2013-02-06,66888.0
2013-02-07,68476.0
2013-02-08,69413.0
2013-02-09,34220.0
2013-02-10,24698.0
2013-02-11,58398.0
2013-02-12,61816.0
2013-02-13,60287.0
2013-02-14,62023.0
2013-02-15,61209.0
2013-02-16,35550.0
2013-02-17,25865.0
2013-02-18,67391.0
2013-02-19,67433.0
2013-02-20,67569.0
2013-02-21,68960.0
2013-02-22,71399.0
2013-02-23,37502.0
2013-02-24,28133.0
2013-02-25,72247.0
2013-02-26,72501.0
2013-02-27,73024.0
2013-02-28,78466.0
2013-03-01,81104.0
2013-03-02,43788.0
2013-03-03,32062.0
2013-03-04,73897.0
2013-03-05,75943.0
2013-03-06,76443.0
2013-03-07,79732.0
2013-03-08,83417.0
2013-03-09,45037.0
2013-03-10,31472.0
2013-03-11,78991.0
2013-03-12,80767.0
2013-03-13,86986.0
2013-03-14,86429.0
2013-03-15,87171.0
2013-03-16,45962.0
2013-03-17,32984.0
2013-03-18,86620.0
2013-03-19,85971.0
2013-03-20,95602.0
2013-03-21,95302.0
2013-03-22,91509.0
2013-03-23,45957.0
2013-03-24,33220.0
2013-03-25,65702.0
2013-03-26,65701.0
2013-03-27,73115.0
2013-03-28,34526.0
2013-03-29,33224.0
2013-03-30,44957.0
2013-03-31,33309.0
2013-04-01,32044.0
2013-04-02,83017.0
2013-04-03,82053.0
2013-04-04,84043.0
2013-04-05,88525.0
2013-04-06,50778.0
2013-04-07,37815.0
2013-04-08,84954.0
2013-04-09,85880.0
2013-04-10,87642.0
2013-04-11,95927.0
2013-04-12,94687.0
2013-04-13,53107.0
2013-04-14,38774.0
2013-04-15,83059.0
2013-04-16,83834.0
2013-04-17,83936.0
2013-04-18,90123.0
2013-04-19,95110.0
2013-04-20,56453.0
2013-04-21,41786.0
2013-04-22,83519.0
2013-04-23,89299.0
2013-04-24,88147.0
2013-04-25,96187.0
2013-04-26,42528.0
2013-04-27,53345.0
2013-04-28,43008.0
2013-04-29,89379.0
2013-04-30,95764.0
2013-05-01,91389.0
2013-05-02,95443.0
2013-05-03,101829.0
2013-05-04,60410.0
2013-05-05,46164.0
2013-05-06,89702.0
2013-05-07,91381.0
2013-05-08,110711.0
2013-05-09,43465.0
2013-05-10,73068.0
2013-05-11,55307.0
2013-05-12,45337.0
2013-05-13,92814.0
2013-05-14,97585.0
2013-05-15,95700.0
2013-05-16,94972.0
2013-05-17,103372.0
2013-05-18,61834.0
2013-05-19,47093.0
2013-05-20,42182.0
2013-05-21,97086.0
2013-05-22,106896.0
2013-05-23,100278.0
2013-05-24,104555.0
2013-05-25,61729.0
2013-05-26,45524.0
2013-05-27,93805.0
2013-05-28,95412.0
2013-05-29,98828.0
2013-05-30,98997.0
2013-05-31,114794.0
2013-06-01,70920.0
2013-06-02,51498.0
2013-06-03,97887.0
2013-06-04,105415.0
2013-06-05,60225.0
2013-06-06,102373.0
2013-06-07,109574.0
2013-06-08,69185.0
2013-06-09,50798.0
2013-06-10,95640.0
2013-06-11,99222.0
2013-06-12,100558.0
2013-06-13,118596.0
2013-06-14,120254.0
2013-06-15,70840.0
2013-06-16,51584.0
2013-06-17,100236.0
2013-06-18,100251.0
2013-06-19,106577.0
2013-06-20,106307.0
2013-06-21,114926.0
2013-06-22,74198.0
2013-06-23,55455.0
2013-06-24,100081.0
2013-06-25,104358.0
2013-06-26,110693.0
2013-06-27,110903.0
2013-06-28,116547.0
2013-06-29,71081.0
2013-06-30,51004.0
2013-07-01,90632.0
2013-07-02,90892.0
2013-07-03,89478.0
2013-07-04,86656.0
2013-07-05,88303.0
2013-07-06,61737.0
2013-07-07,50202.0
2013-07-08,80329.0
2013-07-09,81630.0
2013-07-10,79820.0
2013-07-11,81727.0
2013-07-12,84763.0
2013-07-13,61595.0
2013-07-14,44294.0
2013-07-15,71204.0
2013-07-16,72220.0
2013-07-17,73132.0
2013-07-18,71678.0
2013-07-19,77023.0
2013-07-20,58974.0
2013-07-21,49960.0
2013-07-22,71519.0
2013-07-23,72841.0
2013-07-24,71953.0
2013-07-25,71923.0
2013-07-26,76713.0
2013-07-27,58163.0
2013-07-28,50107.0
2013-07-29,73235.0
2013-07-30,77073.0
2013-07-31,87994.0
2013-08-01,87003.0
2013-08-02,90688.0
2013-08-03,66776.0
2013-08-04,55575.0
2013-08-05,87985.0
2013-08-06,91606.0
2013-08-07,92052.0
2013-08-08,97378.0
2013-08-09,103695.0
2013-08-10,69833.0
2013-08-11,55125.0
2013-08-12,103653.0
2013-08-13,106014.0
2013-08-14,114386.0
2013-08-15,112671.0
2013-08-16,124216.0
2013-08-17,74349.0
2013-08-18,59034.0
2013-08-19,106598.0
2013-08-20,109024.0
2013-08-21,109296.0
2013-08-22,110453.0
2013-08-23,122483.0
2013-08-24,79985.0
2013-08-25,62812.0
2013-08-26,107809.0
2013-08-27,110123.0
2013-08-28,111831.0
2013-08-29,114878.0
2013-08-30,138625.0
2013-08-31,85285.0
2013-09-01,63510.0
2013-09-02,126390.0
2013-09-03,115883.0
2013-09-04,113975.0
2013-09-05,117509.0
2013-09-06,129648.0
2013-09-07,82349.0
2013-09-08,60031.0
2013-09-09,117329.0
2013-09-10,114413.0
2013-09-11,113488.0
2013-09-12,117385.0
2013-09-13,124994.0
2013-09-14,80894.0
2013-09-15,58387.0
2013-09-16,122624.0
2013-09-17,116370.0
2013-09-18,121631.0
2013-09-19,117433.0
2013-09-20,127514.0
2013-09-21,78133.0
2013-09-22,57975.0
2013-09-23,116906.0
2013-09-24,115287.0
2013-09-25,115850.0
2013-09-26,120235.0
2013-09-27,130553.0
2013-09-28,84204.0
2013-09-29,62078.0
2013-09-30,118015.0
2013-10-01,123357.0
2013-10-02,122618.0
2013-10-03,127534.0
2013-10-04,139801.0
2013-10-05,84803.0
2013-10-06,66264.0
2013-10-07,118731.0
2013-10-08,121415.0
2013-10-09,126621.0
2013-10-10,129106.0
2013-10-11,140452.0
2013-10-12,83694.0
2013-10-13,60965.0
2013-10-14,104467.0
2013-10-15,103946.0
2013-10-16,106286.0
2013-10-17,106867.0
2013-10-18,116178.0
2013-10-19,80177.0
2013-10-20,61332.0
2013-10-21,132225.0
2013-10-22,125649.0
2013-10-23,127136.0
2013-10-24,129748.0
2013-10-25,140428.0
2013-10-26,84141.0
2013-10-27,65772.0
2013-10-28,119882.0
2013-10-29,119199.0
2013-10-30,123642.0
2013-10-31,139141.0
2013-11-01,152627.0
2013-11-02,96319.0
2013-11-03,67692.0
2013-11-04,135448.0
2013-11-05,134155.0
2013-11-06,135421.0
2013-11-07,136559.0
2013-11-08,147300.0
2013-11-09,91654.0
2013-11-10,69996.0
2013-11-11,129849.0
2013-11-12,139634.0
2013-11-13,135885.0
2013-11-14,136703.0
2013-11-15,146906.0
2013-11-16,89309.0
2013-11-17,67055.0
2013-11-18,127403.0
2013-11-19,131427.0
2013-11-20,132997.0
2013-11-21,137674.0
2013-11-22,148555.0
2013-11-23,93030.0
2013-11-24,71564.0
2013-11-25,131877.0
2013-11-26,135515.0
2013-11-27,137334.0
2013-11-28,145147.0
2013-11-29,165210.0
2013-11-30,103444.0
2013-12-01,81720.0
2013-12-02,140436.0
2013-12-03,143040.0
2013-12-04,153091.0
2013-12-05,115453.0
2013-12-06,158090.0
2013-12-07,116533.0
2013-12-08,79563.0
2013-12-09,149673.0
2013-12-10,152328.0
2013-12-11,150895.0
2013-12-12,155481.0
2013-12-13,173716.0
2013-12-14,114088.0
2013-12-15,82060.0
2013-12-16,148952.0
2013-12-17,156064.0
2013-12-18,155583.0
2013-12-19,161756.0
2013-12-20,169978.0
2013-12-21,102094.0
2013-12-22,77156.0
2013-12-23,90810.0
2013-12-24,33849.0
2013-12-25,37366.0
2013-12-26,52298.0
2013-12-27,98930.0
2013-12-28,81826.0
2013-12-29,67197.0
2013-12-30,105918.0
2013-12-31,67830.0
2014-01-01,58262.0
2014-01-02,114018.0
2014-01-03,127256.0
2014-01-04,82981.0
2014-01-05,58850.0
2014-01-06,141925.0
2014-01-07,142003.0
2014-01-08,140738.0
2014-01-09,151693.0
2014-01-10,158488.0
2014-01-11,92512.0
2014-01-12,65844.0
2014-01-13,147208.0
2014-01-14,148532.0
2014-01-15,144119.0
2014-01-16,157057.0
2014-01-17,164842.0
2014-01-18,93248.0
2014-01-19,66561.0
2014-01-20,155109.0
2014-01-21,152691.0
2014-01-22,152031.0
2014-01-23,154528.0
2014-01-24,162108.0
2014-01-25,91689.0
2014-01-26,64923.0
2014-01-27,152767.0
2014-01-28,162267.0
2014-01-29,162004.0
2014-01-30,164982.0
2014-01-31,181918.0
2014-02-01,104213.0
2014-02-02,76229.0
2014-02-03,158322.0
2014-02-04,156636.0
2014-02-05,156318.0
2014-02-06,159060.0
2014-02-07,172457.0
2014-02-08,95663.0
2014-02-09,67115.0
2014-02-10,132249.0
2014-02-11,134482.0
2014-02-12,134818.0
2014-02-13,138778.0
2014-02-14,101491.0
2014-02-15,92087.0
2014-02-16,69468.0
2014-02-17,137926.0
2014-02-18,141608.0
2014-02-19,144468.0
2014-02-20,145731.0
2014-02-21,157529.0
2014-02-22,95889.0
2014-02-23,71840.0
2014-02-24,142302.0
2014-02-25,145260.0
2014-02-26,147274.0
2014-02-27,152414.0
2014-02-28,173610.0
2014-03-01,106882.0
2014-03-02,77440.0
2014-03-03,149336.0
2014-03-04,151110.0
2014-03-05,152093.0
2014-03-06,154058.0
2014-03-07,166786.0
2014-03-08,103386.0
2014-03-09,76737.0
2014-03-10,142074.0
2014-03-11,145717.0
2014-03-12,145435.0
2014-03-13,147049.0
2014-03-14,159388.0
2014-03-15,104535.0
2014-03-16,74507.0
2014-03-17,151139.0
2014-03-18,148161.0
2014-03-19,151540.0
2014-03-20,154529.0
2014-03-21,166938.0
2014-03-22,101958.0
2014-03-23,75369.0
2014-03-24,143466.0
2014-03-25,149291.0
2014-03-26,153505.0
2014-03-27,152947.0
2014-03-28,163977.0
2014-03-29,119397.0
2014-03-30,75000.0
2014-03-31,147094.0
2014-04-01,149938.0
2014-04-02,155450.0
2014-04-03,157146.0
2014-04-04,174709.0
2014-04-05,109914.0
2014-04-06,81663.0
2014-04-07,152481.0
2014-04-08,164254.0
2014-04-09,164826.0
2014-04-10,162095.0
2014-04-11,176491.0
2014-04-12,105651.0
2014-04-13,78006.0
2014-04-14,128730.0
2014-04-15,124848.0
2014-04-16,128948.0
2014-04-17,74436.0
2014-04-18,72390.0
2014-04-19,92744.0
2014-04-20,75763.0
2014-04-21,65750.0
2014-04-22,148131.0
2014-04-23,149667.0
2014-04-24,159005.0
2014-04-25,166879.0
2014-04-26,105819.0
2014-04-27,80752.0
2014-04-28,143223.0
2014-04-29,145303.0
2014-04-30,157501.0
2014-05-01,159041.0
2014-05-02,172409.0
2014-05-03,114706.0
2014-05-04,88576.0
2014-05-05,152976.0
2014-05-06,163709.0
2014-05-07,172521.0
2014-05-08,166231.0
2014-05-09,180398.0
2014-05-10,112316.0
2014-05-11,84463.0
2014-05-12,162348.0
2014-05-13,161486.0
2014-05-14,160369.0
2014-05-15,176865.0
2014-05-16,88414.0
2014-05-17,104620.0
2014-05-18,87807.0
2014-05-19,150336.0
2014-05-20,147115.0
2014-05-21,145303.0
2014-05-22,151179.0
2014-05-23,169425.0
2014-05-24,106326.0
2014-05-25,77482.0
2014-05-26,143515.0
2014-05-27,149363.0
2014-05-28,177855.0
2014-05-29,80725.0
2014-05-30,130176.0
2014-05-31,104620.0
2014-06-01,83078.0
2014-06-02,148611.0
2014-06-03,158212.0
2014-06-04,174610.0
2014-06-05,99992.0
2014-06-06,154961.0
2014-06-07,109275.0
2014-06-08,81924.0
2014-06-09,73663.0
2014-06-10,151186.0
2014-06-11,160638.0
2014-06-12,158134.0
2014-06-13,171873.0
2014-06-14,108752.0
2014-06-15,81205.0
2014-06-16,150858.0
2014-06-17,154137.0
2014-06-18,152243.0
2014-06-19,164489.0
2014-06-20,178773.0
2014-06-21,111516.0
2014-06-22,79768.0
2014-06-23,155999.0
2014-06-24,152782.0
2014-06-25,153582.0
2014-06-26,157689.0
2014-06-27,166067.0
2014-06-28,106375.0
2014-06-29,77389.0
2014-06-30,132428.0
2014-07-01,131619.0
2014-07-02,132989.0
2014-07-03,132687.0
2014-07-04,136716.0
2014-07-05,96211.0
2014-07-06,78804.0
2014-07-07,119868.0
2014-07-08,122033.0
2014-07-09,124934.0
2014-07-10,124562.0
2014-07-11,128233.0
2014-07-12,92641.0
2014-07-13,66177.0
2014-07-14,106960.0
2014-07-15,106766.0
2014-07-16,108354.0
2014-07-17,107056.0
2014-07-18,112330.0
2014-07-19,88447.0
2014-07-20,73529.0
2014-07-21,100417.0
2014-07-22,102151.0
2014-07-23,104539.0
2014-07-24,105150.0
2014-07-25,110552.0
2014-07-26,89068.0
2014-07-27,76776.0
2014-07-28,105201.0
2014-07-29,106575.0
2014-07-30,114948.0
2014-07-31,123309.0
2014-08-01,135930.0
2014-08-02,109109.0
2014-08-03,81611.0
2014-08-04,135038.0
2014-08-05,133644.0
2014-08-06,135012.0
2014-08-07,135545.0
2014-08-08,148025.0
2014-08-09,103788.0
2014-08-10,86479.0
2014-08-11,145241.0
2014-08-12,149103.0
2014-08-13,152193.0
2014-08-14,158643.0
2014-08-15,177697.0
2014-08-16,114271.0
2014-08-17,81365.0
2014-08-18,160262.0
2014-08-19,162683.0
2014-08-20,162095.0
2014-08-21,164755.0
2014-08-22,181845.0
2014-08-23,117509.0
2014-08-24,93551.0
2014-08-25,157779.0
2014-08-26,160925.0
2014-08-27,160165.0
2014-08-28,163893.0
2014-08-29,199277.0
2014-08-30,135370.0
2014-08-31,87349.0
2014-09-01,165478.0
2014-09-02,162516.0
2014-09-03,161177.0
2014-09-04,166125.0
2014-09-05,187047.0
2014-09-06,123857.0
2014-09-07,89372.0
2014-09-08,156691.0
2014-09-09,163089.0
2014-09-10,163615.0
2014-09-11,163910.0
2014-09-12,182780.0
2014-09-13,119970.0
2014-09-14,89374.0
2014-09-15,159102.0
2014-09-16,158287.0
2014-09-17,160299.0
2014-09-18,165154.0
2014-09-19,183390.0
2014-09-20,120106.0
2014-09-21,89449.0
2014-09-22,162701.0
2014-09-23,160676.0
2014-09-24,165829.0
2014-09-25,173141.0
2014-09-26,186805.0
2014-09-27,116754.0
2014-09-28,90567.0
2014-09-29,156153.0
2014-09-30,170406.0
2014-10-01,180397.0
2014-10-02,172126.0
2014-10-03,189334.0
2014-10-04,126831.0
2014-10-05,94274.0
2014-10-06,162901.0
2014-10-07,178566.0
2014-10-08,171859.0
2014-10-09,179078.0
2014-10-10,192223.0
2014-10-11,121345.0
2014-10-12,88468.0
2014-10-13,143555.0
2014-10-14,148039.0
2014-10-15,148389.0
2014-10-16,152945.0
2014-10-17,161449.0
2014-10-18,115819.0
2014-10-19,87787.0
2014-10-20,169088.0
2014-10-21,171906.0
2014-10-22,172573.0
2014-10-23,176483.0
2014-10-24,190831.0
2014-10-25,119006.0
2014-10-26,89995.0
2014-10-27,164609.0
2014-10-28,168745.0
2014-10-29,167382.0
2014-10-30,175090.0
2014-10-31,207178.0
2014-11-01,138044.0
2014-11-02,101222.0
2014-11-03,178292.0
2014-11-04,178444.0
2014-11-05,193067.0
2014-11-06,185903.0
2014-11-07,205574.0
2014-11-08,130294.0
2014-11-09,94326.0
2014-11-10,172579.0
2014-11-11,174635.0
2014-11-12,177181.0
2014-11-13,179984.0
2014-11-14,201935.0
2014-11-15,126949.0
2014-11-16,91862.0
2014-11-17,173460.0
2014-11-18,181451.0
2014-11-19,179723.0
2014-11-20,185620.0
2014-11-21,202582.0
2014-11-22,131733.0
2014-11-23,94026.0
2014-11-24,187084.0
2014-11-25,175708.0
2014-11-26,178595.0
2014-11-27,184974.0
2014-11-28,229437.0
2014-11-29,144314.0
2014-11-30,106086.0
2014-12-01,184658.0
2014-12-02,186424.0
2014-12-03,190052.0
2014-12-04,197807.0
2014-12-05,226719.0
2014-12-06,156036.0
2014-12-07,112157.0
2014-12-08,187949.0
2014-12-09,194716.0
2014-12-10,214475.0
2014-12-11,209821.0
2014-12-12,230474.0
2014-12-13,160042.0
2014-12-14,113213.0
2014-12-15,202276.0
2014-12-16,204452.0
2014-12-17,204688.0
2014-12-18,215739.0
2014-12-19,235948.0
2014-12-20,146709.0
2014-12-21,112105.0
2014-12-22,174704.0
2014-12-23,129132.0
2014-12-24,47635.0
2014-12-25,53433.0
2014-12-26,74996.0
2014-12-27,115232.0
2014-12-28,94112.0
2014-12-29,154127.0
2014-12-30,148269.0
2014-12-31,97816.0
2015-01-01,81287.0
2015-01-02,136639.0
2015-01-03,112925.0
2015-01-04,84536.0
2015-01-05,179991.0
2015-01-06,181060.0
2015-01-07,183383.0
2015-01-08,191658.0
2015-01-09,212627.0
2015-01-10,121923.0
2015-01-11,88868.0
2015-01-12,193222.0
2015-01-13,190130.0
2015-01-14,188531.0
2015-01-15,202376.0
2015-01-16,212434.0
2015-01-17,131238.0
2015-01-18,90726.0
2015-01-19,193565.0
2015-01-20,202543.0
2015-01-21,194818.0
2015-01-22,196838.0
2015-01-23,209724.0
2015-01-24,128841.0
2015-01-25,95336.0
2015-01-26,189725.0
2015-01-27,189216.0
2015-01-28,188348.0
2015-01-29,199760.0
2015-01-30,223575.0
2015-01-31,139609.0
2015-02-01,102990.0
2015-02-02,210345.0
2015-02-03,221151.0
2015-02-04,216341.0
2015-02-05,217113.0
2015-02-06,227544.0
2015-02-07,135925.0
2015-02-08,97441.0
2015-02-09,179195.0
2015-02-10,182915.0
2015-02-11,184322.0
2015-02-12,191512.0
2015-02-13,200358.0
2015-02-14,143808.0
2015-02-15,98220.0
2015-02-16,199010.0
2015-02-17,196761.0
2015-02-18,199864.0
2015-02-19,208024.0
2015-02-20,227199.0
2015-02-21,146912.0
2015-02-22,111095.0
2015-02-23,219337.0
2015-02-24,216202.0
2015-02-25,215988.0
2015-02-26,224496.0
2015-02-27,254970.0
2015-02-28,165875.0
2015-03-01,115544.0
2015-03-02,228250.0
2015-03-03,225929.0
2015-03-04,224118.0
2015-03-05,232717.0
2015-03-06,255354.0
2015-03-07,161638.0
2015-03-08,126478.0
2015-03-09,215374.0
2015-03-10,223786.0
2015-03-11,223585.0
2015-03-12,231586.0
2015-03-13,251264.0
2015-03-14,163325.0
2015-03-15,118643.0
2015-03-16,217130.0
2015-03-17,224220.0
2015-03-18,225253.0
